vin,wmi,make,model,year,plant,region,verified_by,verified_at,source_type,confidence_cap
KMHMZ0126HA044044,KMH,Hyundai,Sonata,2017,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51D7M913900,WBA,BMW,X5,2013,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1231NC385739,KMH,Hyundai,Santa Fe,2022,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1230MC679401,1HG,Honda,Civic,2021,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0126PA396880,KMH,Hyundai,Tucson,2023,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7897BW313052,AAV,Volkswagen,Touran,2011,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51S46264049,JTD,Toyota,Corolla,2025,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6E3D707632,WA1,Audi,Q5,2014,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RML8K339929,1FA,Ford,F-150,2020,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1233RC529063,1HG,Honda,Accord,2024,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMA2N007482,1FA,Ford,Escape,2010,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55A8D438607,WA1,Audi,Q3,2010,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0129FB871873,1HG,Honda,Accord,2015,B,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB9BC488742,AHT,Toyota,Hilux,2011,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51M40403608,JTD,Toyota,RAV4,2021,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1JXGF473137,AFA,Ford,Focus,2016,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW456XAW923048,AAV,Volkswagen,Touran,2010,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7890GW766470,AAV,Volkswagen,Tiguan,2016,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW783NW817783,ABM,BMW,3 Series,2022,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0122PA153816,1HG,Honda,CR-V,2023,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0123EA580624,KMH,Hyundai,Santa Fe,2014,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLG7N094910,1FA,Ford,Escape,2016,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4569GA101923,1HG,Honda,Civic,2016,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1230BX845979,AAV,Volkswagen,Polo,2011,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1235SV440292,AAV,Volkswagen,Polo,2025,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE0JG309228,AFA,Ford,Everest,2018,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32D46222249,JTD,Toyota,RAV4,2013,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7894HX787687,AAV,Volkswagen,Touran,2017,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4569RD308030,KMH,Hyundai,Sonata,2024,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB4RC170411,AHT,Toyota,Yaris,2024,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKA2K930280,1FA,Ford,F-150,2010,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
